,image-ID,old-time-point,predicted-time-point,new-time-point,cycle,z-step,frame,accum,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,amp,background11,background12,background21,background22,maxResidualSlope,chisq,log-likelihood,accuracy,llr,cluster-ID,precisionx,precisiony,precisionz,frame-timestamp,vis-probe,Walk-IDs
0,5282252,16,,,0,12,252,1,6853.33,5520.45,1332.88,0,0,58.4006,42.0857,490.355,7886.88,30992.1,10577.4,-780.069,370.39,243.808,193.053,0,0,1.92106,647.587,-1379.77,1.95066,1501.2,5241,5.39848,5.21205,43.3184,0,28,1
1,5282442,16,,,0,12,442,1,5464.07,4119.16,1344.91,0,0,2.43526,27.2518,449.628,5714.05,31152.9,10485.3,-746.159,262.342,250.747,194.684,0,0,2.7729,677.9,-1384.31,2.69241,1124.97,5241,7.03189,6.80465,54.0573,0,28,1
2,5282451,16,,,0,12,451,1,9728.26,5521.09,4207.17,0,0,84.3898,-27.8019,414.099,8242.97,30972.4,10539.7,-713.195,372.202,251.605,216.502,0,0,3.11958,1560.83,-1923.45,1.25367,2578.82,5241,5.06577,4.92897,35.1988,0,28,1
3,5282883,16,14.0,70.0,0,12,883,1,5866.39,4584.54,1281.85,0,0,43.5469,3.51414,476.165,6731.54,31109.6,10409.0,-740.299,314.161,229.616,186.27,0,0,2.10403,541.513,-1314.14,2.37263,1159.85,5241,5.9733,5.80468,47.8359,0,28,1
4,5283015,16,,,0,13,15,1,7662.64,6154.0,1508.64,0,0,7.34933,57.2678,481.881,9727.37,30942.4,10554.7,-793.325,454.797,229.226,184.311,0,0,3.28604,723.815,-1401.57,1.64818,1821.83,5241,4.42323,4.26453,34.4946,0,28,1
5,5283016,16,,,0,13,16,1,7174.37,5584.95,1589.41,0,0,2.86491,63.5646,471.374,9988.25,30946.8,10548.5,-783.062,463.915,229.661,188.737,0,0,4.05869,751.452,-1426.24,1.80715,1979.48,5241,4.30585,4.15601,33.2256,0,28,1
6,5283017,16,,,0,13,17,1,6474.29,4519.36,1954.92,0,0,2.14315,59.8455,465.411,7908.32,30947.5,10552.3,-777.343,366.005,234.316,188.008,0,0,2.6322,610.21,-1342.29,2.08288,1470.34,5241,5.24124,5.0585,40.7799,0,28,1
7,5283492,16,,,0,13,492,1,4032.68,2870.91,1161.77,0,0,87.775,23.2067,471.427,3696.06,30962.1,10593.0,-784.676,171.74,234.383,189.327,0,0,2.03041,501.57,-1294.9,4.09571,706.453,5241,10.2386,9.87429,84.621,0,28,1
8,5283493,16,,,0,13,493,1,5570.32,3848.0,1722.32,0,0,80.8135,-40.5553,418.502,6261.65,30969.1,10557.3,-731.777,283.875,229.237,186.78,0,0,2.78021,627.225,-1352.93,2.55075,1258.22,5241,6.18665,6.01196,43.4273,0,28,1
9,5283867,16,,,0,13,867,1,6695.65,5413.27,1282.38,0,0,83.0456,-39.3482,469.5,8033.08,30967.0,10555.2,-777.699,375.105,231.469,184.818,0,0,3.30765,621.686,-1356.89,1.9791,1533.68,5241,5.13508,4.95892,39.4066,0,28,1
